id,Title,Description,Price_Raw,Price_Billion,Price_Per_m2,Price_per_m2_VND,log_price_vnd,Area_m2,Width_m,Bedrooms,Toilets,District,District_Name,Ward,Address,Floor,Is_MatTien,Post_Time,Link,Page,Price_VND,Floors
2452939,"Bán khách sạn 3 sao 2 MT đường Nguyễn Trãi, P. Bến Thành, DT8.5x20m vu","Bán khách sạn 3 sao 2 MT đường Nguyễn Trãi, P. Bến Thành, DT8.5x20m vu",185 tỷ,185.0,1088.24,1088235294.1176472,25.943621662030143,170.0,8.5,20,20,quan-1,Quận 1,Bến Thành,"Quận 1, TPHCM",,1,26/12/2023,https://mogi.vn/quan-1/mua-nha-hem-ngo/ban-khach-san-3-sao-2-mt-duong-nguyen-trai-p-ben-thanh-dt8-5x20m-vu-id2452939,43,185000000000.0,1.0
5267978,"Nhà DT: 8,2 x 19m, mặt tiền P.Nguyễn Thái Bình, Q1. 4 lầu, giá 82 tỷ.","Nhà DT: 8,2 x 19m, mặt tiền P.Nguyễn Thái Bình, Q1. 4 lầu, giá 82 tỷ.",82 tỷ,82.0,529.03,529032258.0645161,25.12998508422286,155.0,8.2,8,8,quan-1,Quận 1,Nguyễn Thái Bình,"Quận 1, TPHCM",4,1,26/12/2023,https://mogi.vn/quan-1/mua-nha-hem-ngo/nha-dt-8-2-x-19m-mat-tien-p-nguyen-thai-binh-q1-4-lau-gia-82-ty-id5267978,43,82000000000.0,5.0
20896731,"Bán nhà 2 MT đường Hậu Giang, Phường 12, Quận 6, nhà 3.5 tấm, 5 x 20m,","Bán nhà 2 MT đường Hậu Giang, Phường 12, Quận 6, nhà 3.5 tấm, 5 x 20m,",28 tỷ,28.0,280.0,280000000.0,24.05547034715733,100.0,5.0,5,3,quan-6,Quận 6,12,"Quận 6, TPHCM",3.5_tam,1,13/12/2025,https://mogi.vn/quan-6/mua-nha-mat-tien-pho/ban-nha-2-mt-duong-hau-giang-phuong-12-quan-6-nha-3-5-tam-5-x-20m-id20896731,5,28000000000.0,5.0
21214902,"Nhà cấp 4 MT đường chính 5m 763A Đoàn Văn Bơ, 3,6x 18 (70m2),","Nhà cấp 4 MT đường chính 5m 763A Đoàn Văn Bơ, 3,6x 18 (70m2),",6 tỷ,6.0,85.71,85714285.71428572,22.515025306341133,70.0,5.0,3,1,quan-4,Quận 4,4,"Quận 4, TPHCM",,0,10/11/2023,https://mogi.vn/quan-4/mua-nha-mat-tien-pho/nha-ca-p-4-mt-duo-ng-chi-nh-5m-763a-doa-n-van-bo-3-6x-18-70m2-id21214902,12,6000000000.0,1.0
21246113,"Chính chủ bán nhà  538/151/ Đoàn Văn Bơ, Phường 16, 3,6m x 10,5","Chính chủ bán nhà  538/151/ Đoàn Văn Bơ, Phường 16, 3,6m x 10,5",3 tỷ 200 triệu,3.2,94.12,94117647.05882353,21.8864166470646,34.0,3.6,2,2,quan-4,Quận 4,16,"Quận 4, TPHCM",,0,10/11/2023,https://mogi.vn/quan-4/mua-nha-hem-ngo/chi-nh-chu-ba-n-nha-538-151-doan-van-bo-phuong-16-3-6m-x-10-5-id21246113,33,3200000000.0,1.0
21246140,"Chính chủ bán nhà  mặt tiền 28 Xóm Chiếu, Phường 14 ; 3,8mx13,7m","Chính chủ bán nhà  mặt tiền 28 Xóm Chiếu, Phường 14 ; 3,8mx13,7m",12 tỷ,12.0,235.29,235294117.6470588,23.208172486817745,51.0,3.8,3,3,quan-4,Quận 4,14,"Quận 4, TPHCM",,0,10/11/2023,https://mogi.vn/quan-4/mua-nha-mat-tien-pho/chi-nh-chu-ba-n-nha-ma-t-tie-n-28-xom-chieu-phuong-14-3-8mx13-7m-id21246140,12,12000000000.0,1.0
21246142,"Chính chủ bán nhà  148/12/7D Tôn Đản, Phường 08, 4m x 20m! 4,8ty","Chính chủ bán nhà  148/12/7D Tôn Đản, Phường 08, 4m x 20m! 4,8ty",4 tỷ 800 triệu,4.8,60.0,60000000.0,22.29188175506859,80.0,4.0,4,4,quan-4,Quận 4,08,"Quận 4, TPHCM",,0,10/11/2023,https://mogi.vn/quan-4/mua-nha-hem-ngo/chi-nh-chu-ba-n-nha-148-12-7d-ton-dan-phuong-08-4m-x-20m-4-8ty-id21246142,34,4800000000.0,1.0
21257131,"Xuất cảnh bán gấp nhà 137/60 Bến Vân Đồn, Phường 6, Quận 4, 2,9m x9m","Xuất cảnh bán gấp nhà 137/60 Bến Vân Đồn, Phường 6, Quận 4, 2,9m x9m",3 tỷ 900 triệu,3.9,84.78,84782608.69565217,22.08424239033842,46.0,2.9,2,2,quan-4,Quận 4,6,"Quận 4, TPHCM",,0,10/11/2023,https://mogi.vn/quan-4/mua-nha-hem-ngo/xuat-canh-ban-gap-nha-137-60-ben-van-don-phuong-6-quan-4-2-9m-x9m-id21257131,35,3900000000.0,1.0
21262304,"Bán nhà sổ hồng137/34B Bến Vân Đồn, P6, Q4, Dt: 3x7, 3 lầu","Bán nhà sổ hồng137/34B Bến Vân Đồn, P6, Q4, Dt: 3x7, 3 lầu",3 tỷ 300 triệu,3.3,143.48,143478260.86956522,21.91718830572188,23.0,3.0,2,3,quan-4,Quận 4,6,"Quận 4, TPHCM",,0,10/11/2023,https://mogi.vn/quan-4/mua-nha-hem-ngo/ba-n-nha-so-ho-ng137-34b-be-n-van-do-n-p6-q4-dt-3x7-3-la-u-id21262304,34,3300000000.0,1.0
21270215,"Bán nhà hẻm 75 Nguyễn Tất Thành, P13, Q4: 4x10, 2 lầu, 3,9 tỷ","Bán nhà hẻm 75 Nguyễn Tất Thành, P13, Q4: 4x10, 2 lầu, 3,9 tỷ",3 tỷ 900 triệu,3.9,114.71,114705882.35294116,22.08424239033842,34.0,4.0,2,3,quan-4,Quận 4,13,"Quận 4, TPHCM",,0,10/11/2023,https://mogi.vn/quan-4/mua-nha-hem-ngo/ba-n-nha-he-m-75-nguye-n-ta-t-tha-nh-p13-q4-4x10-2-la-u-3-9-ty-id21270215,35,3900000000.0,1.0
