id,Title,Description,Price_Raw,Price_Billion,Price_Per_m2,Price_per_m2_VND,log_price_vnd,Area_m2,Width_m,Bedrooms,Toilets,District,District_Name,Ward,Address,Floor,Is_MatTien,Post_Time,Link,Page,Price_VND,Floors
22670271,Bán Căn Góc Hẻm Nhựa 12m Đường Sư Vạn Hạnh P.12 Q.10 - DT 5.8x18.5,Bán Căn Góc Hẻm Nhựa 12m Đường Sư Vạn Hạnh P.12 Q.10 - DT 5.8x18.5,20 tỷ,20.0,190.48,190476190.47619048,23.7189981105504,105.0,5.8,1,1,quan-10,Quận 10,12,"Quận 10, TPHCM",,0,29/04/2025,https://mogi.vn/quan-10/mua-nha-mat-tien-pho/ban-can-goc-hem-nhua-12m-duong-su-van-hanh-p-12-q-10-dt-5-8x18-5-id22670271,22,20000000000.0,1.0
22670416,"✅ Bán nhà MT 36 ĐƯỜNG SỐ 8 P. BÌNH AN, Q.2 DT 22 (nở hậu 23.57)x36.13m","✅ Bán nhà MT 36 ĐƯỜNG SỐ 8 P. BÌNH AN, Q.2 DT 22 (nở hậu 23.57)x36.13m",85 tỷ,85.0,108.76,108762411.71051228,25.16591709344849,781.5200000000041,36.0,7,7,quan-2,Quận 2,BÌNH AN,"Quận 2 (TP. Thủ Đức), TPHCM",,0,29/05/2025,https://mogi.vn/quan-2/mua-nha-mat-tien-pho/ban-nha-mt-36-duong-so-8-p-binh-an-q-2-dt-22-no-hau-23-57-x36-13m-id22670416,39,85000000000.0,1.0
22670417,"✅ Bán nhà MT  ĐƯỜNG SỐ 30B, P. BA, Q2 DT 6.8m x 18.5m Giá 32 tỷ","✅ Bán nhà MT  ĐƯỜNG SỐ 30B, P. BA, Q2 DT 6.8m x 18.5m Giá 32 tỷ",32 tỷ,32.0,253.97,253968253.968254,24.18900173977739,126.0,30.0,0,0,quan-2,Quận 2,BA,"Quận 2 (TP. Thủ Đức), TPHCM",,0,29/05/2025,https://mogi.vn/quan-2/mua-nha-mat-tien-pho/ban-nha-mt-duong-so-30b-p-ba-q2-dt-6-8m-x-18-5m-gia-32-ty-id22670417,39,32000000000.0,1.0
22670420,"✅ Bán nhà HXH TRẦN KHẮC CHÂN, P.TĐ, Q1 DT 22,6m x 18m Giá 85 tỷ","✅ Bán nhà HXH TRẦN KHẮC CHÂN, P.TĐ, Q1 DT 22,6m x 18m Giá 85 tỷ",85 tỷ,85.0,247.09,247093023.255814,25.16591709344849,344.0,18.0,0,0,quan-1,Quận 1,TĐ,"Quận 1, TPHCM",,0,29/05/2025,https://mogi.vn/quan-1/mua-nha-hem-ngo/ban-nha-hxh-tran-khac-chan-p-td-q1-dt-22-6m-x-18m-gia-85-ty-id22670420,10,85000000000.0,1.0
22670426,"✅ Bán nhà MT ĐƯỜNG 37, P.BA, Q2 DT 8 x 23m Giá 39.5 tỷ","✅ Bán nhà MT ĐƯỜNG 37, P.BA, Q2 DT 8 x 23m Giá 39.5 tỷ",39 tỷ 500 triệu,39.5,214.67,214673913.04347825,24.3995665088788,184.0,37.0,0,0,quan-2,Quận 2,BA,"Quận 2 (TP. Thủ Đức), TPHCM",,1,29/05/2025,https://mogi.vn/quan-2/mua-nha-mat-tien-pho/ban-nha-mt-duong-37-p-ba-q2-dt-8-x-23m-gia-39-5-ty-id22670426,39,39500000000.0,1.0
22670489,Nhà HXH Trường Sa 96m2 ngang 4m nhà mới ở ngay gần Ga SG ở ngay 8.5 tỷ,Nhà HXH Trường Sa 96m2 ngang 4m nhà mới ở ngay gần Ga SG ở ngay 8.5 tỷ,8 tỷ 500 triệu,8.5,88.54,88541666.66666667,22.86333200056033,96.0,4.0,2,2,quan-3,Quận 3,,"Quận 3, TPHCM",,0,17/03/2025,https://mogi.vn/quan-3/mua-nha-hem-ngo/nha-hxh-truong-sa-96m2-ngang-4m-nha-moi-o-ngay-gan-ga-sg-o-ngay-8-5-ty-id22670489,25,8500000000.0,1.0
22670543,"Đất hẻm 645 Lê Văn Việt Hoàng Hữu Nam Tân Phú 278m2 ngang 8.5, 14tyxx","Đất hẻm 645 Lê Văn Việt Hoàng Hữu Nam Tân Phú 278m2 ngang 8.5, 14tyxx",14 tỷ 800 triệu,14.8,53.24,53237410.07194245,23.41789301778405,278.0,8.5,0,0,quan-9,Quận 9,,"Quận 9 (TP. Thủ Đức), TPHCM",,0,11/04/2025,https://mogi.vn/quan-9/mua-nha-mat-tien-pho/dat-hem-645-le-van-viet-hoang-huu-nam-tan-phu-278m2-ngang-8-5-14tyxx-id22670543,19,14800000000.0,1.0
22670546,"Cần bán gấp nhà Man Thiện, Tăng Nhơn Phú A, Thủ Đức, 110m2, ngang 5m,","Cần bán gấp nhà Man Thiện, Tăng Nhơn Phú A, Thủ Đức, 110m2, ngang 5m,",6 tỷ 990 triệu,6.99,63.55,63545454.54545455,22.6677463933352,110.0,5.0,2,1,quan-9,Quận 9,,"Quận 9 (TP. Thủ Đức), TPHCM",,0,11/04/2025,https://mogi.vn/quan-9/mua-nha-mat-tien-pho/can-ban-gap-nha-man-thien-tang-nhon-phu-a-thu-duc-110m2-ngang-5m-id22670546,19,6990000000.0,1.0
22670549,"Cần bán gấp nhà Nguyễn Duy Trinh, Bình Trưng Tây 75m2 ngang 5.5, 5 tỷx","Cần bán gấp nhà Nguyễn Duy Trinh, Bình Trưng Tây 75m2 ngang 5.5, 5 tỷx",5 tỷ 999 triệu,5.999,79.99,79986666.66666667,22.51485862578406,75.0,5.5,4,4,quan-2,Quận 2,,"Quận 2 (TP. Thủ Đức), TPHCM",,0,11/04/2025,https://mogi.vn/quan-2/mua-nha-mat-tien-pho/can-ban-gap-nha-nguyen-duy-trinh-binh-trung-tay-75m2-ngang-5-5-5-tyx-id22670549,42,5999000000.0,1.0
22670554,"Bán nhà MẶT TIỀN NGUYỄN VĂN TĂNG Long Thạnh Mỹ, 200m2, ngang 9, 8 tỷ x","Bán nhà MẶT TIỀN NGUYỄN VĂN TĂNG Long Thạnh Mỹ, 200m2, ngang 9, 8 tỷ x",8 tỷ 990 triệu,8.99,44.95,44950000.0,22.919378685541176,200.0,9.0,3,2,quan-9,Quận 9,,"Quận 9 (TP. Thủ Đức), TPHCM",,1,11/04/2025,https://mogi.vn/quan-9/mua-nha-mat-tien-pho/ban-nha-mat-tien-nguyen-van-tang-long-thanh-my-200m2-ngang-9-8-ty-x-id22670554,18,8990000000.0,1.0
22670612,"✅ Bán nhà MT NGUYỄN DUY TRINH, P.LONG TRƯỜNG, Q9. DT 20 x 50m Giá 65ty","✅ Bán nhà MT NGUYỄN DUY TRINH, P.LONG TRƯỜNG, Q9. DT 20 x 50m Giá 65ty",65 tỷ,65.0,83.17,83171256.01392116,24.89765310685744,781.5200000000041,20.0,0,0,quan-9,Quận 9,LONG TRƯỜNG,"Quận 9 (TP. Thủ Đức), TPHCM",,0,29/05/2025,https://mogi.vn/quan-9/mua-nha-mat-tien-pho/ban-nha-mt-nguyen-duy-trinh-p-long-truong-q9-dt-20-x-50m-gia-65ty-id22670612,16,65000000000.0,1.0
22670621,"✅ Bán nhà MT TRƯỜNG SA, P.12, QUẬN 3 DT 9,65x6,93m Giá 29.5 tỷ","✅ Bán nhà MT TRƯỜNG SA, P.12, QUẬN 3 DT 9,65x6,93m Giá 29.5 tỷ",29 tỷ 500 triệu,29.5,453.85,453846153.84615386,24.10765610032608,65.0,6.93,0,0,quan-3,Quận 3,12,"Quận 3, TPHCM",,0,29/05/2025,https://mogi.vn/quan-3/mua-nha-mat-tien-pho/ban-nha-mt-truong-sa-p-12-quan-3-dt-9-65x6-93m-gia-29-5-ty-id22670621,34,29500000000.0,1.0
22670689,Sản Phẩm Hiếm Nhà 5 Tầng 4.4x24 Mặt Tiền Tô Hiến Thành Quận 10,Sản Phẩm Hiếm Nhà 5 Tầng 4.4x24 Mặt Tiền Tô Hiến Thành Quận 10,29 tỷ,29.0,271.03,271028037.3831776,24.090561666967368,107.0,4.4,8,4,quan-10,Quận 10,,"Quận 10, TPHCM",5,1,Hôm qua,https://mogi.vn/quan-10/mua-nha-mat-tien-pho/san-pham-hiem-nha-5-tang-4-4x24-mat-tien-to-hien-thanh-quan-10-id22670689,2,29000000000.0,5.0
22670718,"Ngộp Bank Bán Gấp Nhà 2MT Bùi Thị Xuân, P.Bến Thành Q1. DT 4 x 20m - 4","Ngộp Bank Bán Gấp Nhà 2MT Bùi Thị Xuân, P.Bến Thành Q1. DT 4 x 20m - 4",48 tỷ,48.0,600.0,600000000.0,24.594466847875136,80.0,4.0,4,3,quan-1,Quận 1,Bến Thành,"Quận 1, TPHCM",,0,Hôm qua,https://mogi.vn/quan-1/mua-nha-mat-tien-pho/ngop-bank-ban-gap-nha-2mt-bui-thi-xuan-p-ben-thanh-q1-dt-4-x-20m-4-id22670718,5,48000000000.0,1.0
22670880,Tòa Nhà MT Nguyễn Thị Minh Khai Q3- 5*35m NH 12m- 7Tầng - Gía: 110Tỷ,Tòa Nhà MT Nguyễn Thị Minh Khai Q3- 5*35m NH 12m- 7Tầng - Gía: 110Tỷ,110 tỷ,110.0,536.59,536585365.85365856,25.42374620274792,205.0,5.0,9,10,quan-3,Quận 3,,"Quận 3, TPHCM",7,0,17/05/2025,https://mogi.vn/quan-3/mua-nha-mat-tien-pho/toa-nha-mt-nguyen-thi-minh-khai-q3-5-35m-nh-12m-7tang-gia-110ty-id22670880,36,110000000000.0,7.0
22670990,"Nhà Ngộp Q2, Giảm Giá 2,5tỷ: Khu Phân Lô, 96m2, Mặt Đường Rộng 6m","Nhà Ngộp Q2, Giảm Giá 2,5tỷ: Khu Phân Lô, 96m2, Mặt Đường Rộng 6m",11 tỷ 500 triệu,11.5,115.0,115000000.0,23.165612872402573,100.0,6.0,8,8,quan-2,Quận 2,,"Quận 2 (TP. Thủ Đức), TPHCM",,0,15/03/2025,https://mogi.vn/quan-2/mua-nha-mat-tien-pho/nha-ngop-q2-giam-gia-2-5ty-khu-phan-lo-96m2-mat-duong-rong-6m-id22670990,47,11500000000.0,1.0
